组号,成员,成员(姓名),总得分,单向喜欢数,互相喜欢数,单向喜欢详情,互相喜欢详情,单向喜欢详情(姓名),互相喜欢详情(姓名)
1,"F1, M10","F1(林雨桐), M10(陈奕辰)",1.0,1,0,F1→M10,无,F1(林雨桐)→M10(陈奕辰),无
2,"F7, M9","F7(唐婉清), M9(冯博文)",1.0,1,0,F7→M9,无,F7(唐婉清)→M9(冯博文),无
3,"F8, M4","F8(曹雅楠/原F9), M4(李俊熙)",2.0,1,0,F8→M4,无,F8(曹雅楠/原F9)→M4(李俊熙),无
4,"F9, M7","F9(彭思妍/原F10), M7(郑明轩)",3.0,0,1,无,F9↔M7,无,F9(彭思妍/原F10)↔M7(郑明轩)
5,"F4, M1, M8","F4(梁欣怡), M1(赵浩然), M8(王景辰)",6.0,0,2,无,F4↔M1; F4↔M8,无,F4(梁欣怡)↔M1(赵浩然); F4(梁欣怡)↔M8(王景辰)
6,"F6, M5","F6(宋可欣), M5(周嘉铭)",2.0,1,0,M5→F6,无,M5(周嘉铭)→F6(宋可欣),无
7,"F3, M6","F3(高若曦), M6(吴泽宇)",0.0,0,0,无,无,无,无
8,"F2, M2","F2(何诗涵), M2(钱宇轩)",2.0,1,0,F2→M2,无,F2(何诗涵)→M2(钱宇轩),无
9,"F5, M3","F5(谢梦瑶), M3(孙子涵)",4.0,0,1,无,F5↔M3,无,F5(谢梦瑶)↔M3(孙子涵)
汇总,总计 9 组,,21.0,5,4,命中率: 19.2%,命中率: 80.0%,,
